Sales_Part_Number,Description,Part,Perm,Material,AL_nHT2,Shape,Le_cm,Le_mm,ID_min_inches,ID_min_mm,OD_max_inches,OD_max_mm,HT_max_inches,HT_max_mm,Ae_cm2,Ae_mm2,Ve_cm3,Ve_mm3,Inventory_UM,Net_Weight,Parcel_Qty,Hardware_1,Hardware_2,Hardware_3,Hardware_4,Hardware_5
00K4741B026,KOOL MU 4741 BLOCK,4741,26,Kool Mu,0,Block,0,0,1.614,41,1.87,47.5,1.083,27.51,0,0,53.6,53600,EACH,0.289,48,,,,,
00K4741B060,KOOL MU 4741 BLOCK,4741,60,Kool Mu,0,Block,0,0,1.614,41,1.87,47.5,1.083,27.51,0,0,53.6,53600,EACH,0.289,48,,,,,
00K5030B026,KOOL MU 5030 BLOCK,5030,26,Kool Mu,0,Block,0,0,1.193,30.3,1.988,50.5,0.591,15,0,0,23,23000,EACH,0.12,64,,,,,
00K5030B040,KOOL MU 5030 BLOCK,5030,40,Kool Mu,0,Block,0,0,1.193,30.3,1.988,50.5,0.591,15,0,0,23,23000,EACH,0.12,64,,,,,
00K5030B060,KOOL MU 5030 BLOCK,5030,60,Kool Mu,0,Block,0,0,1.193,30.3,1.988,50.5,0.591,15,0,0,23,23000,EACH,0.12,64,,,,,
00K5528B026,KOOL MU 5528 BLOCK,5528,26,Kool Mu,0,Block,0,0,1.085,27.56,2.16,54.86,0.812,20.6,0,0,31.2,31200,EACH,0.166,64,,,,,
00K5528B040,KOOL MU 5528 BLOCK,5528,40,Kool Mu,0,Block,0,0,1.085,27.56,2.16,54.86,0.812,20.6,0,0,31.2,31200,EACH,0.17,64,,,,,
00K5528B060,KOOL MU 5528 BLOCK,5528,60,Kool Mu,0,Block,0,0,1.085,27.56,2.16,54.86,0.812,20.6,0,0,31.2,31200,EACH,0.3013,64,,,,,
00K6030B026,KOOL MU 6030 BLOCK,6030,26,Kool Mu,0,Block,0,0,1.181,30,2.362,60,0.591,15,0,0,27,27000,EACH,0.1463,80,,,,,
00K6030B026HT25,KOOL MU 6030 BLOCK,6030,26,Kool Mu,0,Block,0,0,1.181,30,2.362,60,0.984,25,0,0,45,45000,EACH,0.1463,48,,,,,
00K6030B060,KOOL MU 6030 BLOCK,6030,60,Kool Mu,0,Block,0,0,1.181,30,2.362,60,0.591,15,0,0,27,27000,EACH,0.1508,80,,,,,
00K6030B090,KOOL MU 6030 BLOCK,6030,90,Kool Mu,0,Block,0,0,1.181,30,2.362,60,0.591,15,0,0,27,27000,EACH,0.1553,80,,,,,
00K7020B026,KOOL MU 7020 BLOCK,7020,26,Kool Mu,0,Block,0,0,0.799,20.3,2.776,70.5,0.787,20,0,0,28.6,28600,EACH,0.135,90,,,,,
00K7030B026,KOOL MU 7030 BLOCK,7030,26,Kool Mu,0,Block,0,0,1.193,30.3,2.776,70.5,0.787,20,0,0,42.8,42800,EACH,0.24,60,,,,,
00K7020B040,KOOL MU 7020 BLOCK,7020,40,Kool Mu,0,Block,0,0,0.799,20.3,2.776,70.5,0.787,20,0,0,28.6,28600,EACH,0.135,90,,,,,
00K7020B060,KOOL MU 7020 BLOCK,7020,60,Kool Mu,0,Block,0,0,0.799,20.3,2.776,70.5,0.787,20,0,0,28.6,28600,EACH,0.135,90,,,,,
00K8030B026,KOOL MU 8030 BLOCK,8030,26,Kool Mu,0,Block,0,0,1.193,30.3,3.169,80.5,0.787,20,0,0,48.8,48800,EACH,0.255,48,,,,,
00K8030B026HT35,KOOL MU 8030 BLOCK,8030,26,Kool Mu,0,Block,0,0,1.193,30.3,3.169,80.5,1.378,35,0,0,84,84000,EACH,0.71,36,,,,,
00K8030B040,KOOL MU 8030 BLOCK,8030,40,Kool Mu,0,Block,0,0,1.193,30.3,3.169,80.5,0.787,20,0,0,48.8,48800,EACH,0.425,48,,,,,
00K8030B040HT35,KOOL MU 8030 BLOCK,8030,40,Kool Mu,0,Block,0,0,1.193,30.3,3.169,80.5,1.378,35,0,0,84,84000,EACH,0.73,36,,,,,
00K8030B060,KOOL MU 8030 BLOCK,8030,60,Kool Mu,0,Block,0,0,1.193,30.3,3.169,80.5,0.787,20,0,0,48.8,48800,EACH,0.44,48,,,,,
00K8030B060HT35,KOOL MU 8030 BLOCK,8030,60,Kool Mu,0,Block,0,0,1.193,30.3,3.169,80.5,1.378,35,0,0,84,84000,EACH,0.75,36,,,,,
00K9541B014,KOOL MU DBL LENGTH 4741 BLOCK,9541,14,Kool Mu,0,Block,0,0,1.614,41,3.74,95,1.083,27.51,0,0,107.2,107200,EACH,0.289,30,,,,,
00K9541B026,KOOL MU DBL LENGTH 4741 BLOCK,9541,26,Kool Mu,0,Block,0,0,1.614,41,3.74,95,1.083,27.51,0,0,107.2,107200,EACH,0.289,30,,,,,
